"1" 2017-06-27 11:39:43 "NOTE" "initialized" "init_env" "completed initialization" ""
"41" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "disambig_author" "no match, update the local authors db" "NovaesNA"
"42" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "lookup id" "failed lookup, generating new id" ""
"43" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "disambig_author" "no match, update the local authors db" "RosaNA"
"44" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "lookup id" "failed lookup, generating new id" ""
"45" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "disambig_author" "no match, update the local authors db" "VrcibradicNA"
"46" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "lookup id" "failed lookup, generating new id" ""
"47" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "disambig_author" "no match, update the local authors db" "AvillaNA"
"48" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "lookup id" "failed lookup, generating new id" ""
"49" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "dbpedia_lookup" "not match found for " "Chiroptera"
"50" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "lookup id" "failed lookup, generating new id" ""
"51" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "dbpedia_lookup" "not match found for " "Biodiversity: Species, Ecosystems & Conservation"
"52" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "lookup id" "failed lookup, generating new id" ""
"53" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "dbpedia_lookup" "not match found for " "Atlantic Forest remnants"
"54" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "lookup id" "failed lookup, generating new id" ""
"55" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "dbpedia_lookup" "not match found for " "Chiroptera"
"56" 2017-06-27 11:40:06 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "lookup id" "failed lookup, generating new id" ""
"57" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "dbpedia_lookup" "not match found for " "Neotropical bats"
"58" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "lookup id" "failed lookup, generating new id" ""
"59" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "dbpedia_lookup" "not match found for " "species richness."
"60" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "lookup id" "failed lookup, generating new id" ""
"61" 2017-06-27 11:40:07 "NOTE" "/media/obkms/XML2/10.3897_BDJ.3.e4404.xml" "dbpedia_lookup" "found resrouce" "http://dbpedia.org/resource/Brazil"
