typeStatus,catalogNumber,occurrenceDetails,occurrenceRemarks,recordNumber,recordedBy,individualID,individualCount,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,otherCatalogNumbers,previousIdentifications,associatedMedia,associatedReferences,associatedOccurrences,associatedSequences,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,identificationID,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,identificationQualifier,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,eventID,samplingProtocol,samplingEffort,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNumber,fieldNotes,eventRemarks,type,modified,language,rights,rightsHolder,accessRights,bibliographicCitation,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,source
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Scarabaeidae,Cetonia,,aurata,,species,,,,,,,,,,,,,,,Czech Republic,,,,,garden ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Scarabaeidae,Protaetia,,cuprea,,species,,,,,,,,,,,,,,,Czech Republic,,,,,garden ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Scarabaeidae,Oxythyrea,,funesta,,species,,,,,,,,,,,,,,,Czech Republic,,,,,24f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Pyrochroidae,Pyrochroa,,coccinea,,species,,,,,,,,,,,,,,,Czech Republic,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Cerambycidae,Cerambyx,,cerdo,,species,,,,,,,,,,,,,,,Czech Republic,,,,,???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Lucanidae,Dorcus,,parallelipipedus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locailty 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Scarabaeidae,Gnorimus,,nobilis,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locailty 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Scarabaeidae,Protaetia,,speciosissima,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locailty 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Scarabaeidae,Valgus,,hemipterus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Scarabaeidae,Phyllopertha,,horticola,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Geotrupidae,Anoplotrupes,,stercorosus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locailty 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Geotrupidae,Trypocopris,Trypocopris,vernalis,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locailty 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Cleridae,Thanasimus,,sp,,,,,,,,,,,,,,,,,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Cerambycidae,Judolia,,sexmaculata,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Cerambycidae,Agapanthis,,villosoviridascens,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Carabidae,Abax,,parallelepipedus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Cleridae,Clerus,,mutillarius,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Mycetophagidae,Mycetophagus,,quadripustulatus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Tenebrionidae,Diaperis,,boleti,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Tenebrionidae,Platydema,,violaceum,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Tenebrionidae,Lagria,,hirta,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Chrysomelidae,Chrysomela,,varians,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Scraptiidae,Anaspis,,flava,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Hydrophilidae,Cercyon,,lateralis,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Cerambycidae,Alosterna,,tabacicolor,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Dryopidae,Dryops,,nitidulous,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Malachidae,Malachius,,bipustulatus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Chrysomelidae,Chrysolina,,sp,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Tenebrionidae,Gonodera,,luperus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Tenebrionidae,Bolitophagus,,reticulatus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Mycetophagidae,Mycetophagus,,multipunctatus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Nitidulidae,Glischrochilus,,quadrisignatus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Nitidulidae,Epuraea,,sp,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Leiodidae,Agathidium,,sp,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Histeridae,Paromalus,,sp,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Cleridae,Opilo,,mollis,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Cerambycidae,Stenocorus,,meridianus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Chrysomelidae,Cryptocephalus,,sp,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Cerambycidae,Leptura,,maculata,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Chrysomelidae,Galeruca,,tanaceti,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Carabidae,Carabus,,coriaceus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Hydrophilidae,Cercyon,,quisquilius,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Scarabaeidae,Aphodius,,1,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Scarabaeidae,Aphodius,,2,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Cerambycidae,Pseudovadonia,,livida,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Scraptiidae,Anaspis,,frontalis,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Curculionidae,Gymnetron,,sp,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Scarabaeidae,Onthophagus,,,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Hydrophilidae,Cercyon,,haemorrhoidis,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Dytiscidae,Hygrotus,,decoratus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Dytiscidae,Agabus,,uliginosus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Dytiscidae,Hydroporus,,planus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Dytiscidae,Agabus,,sp,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Helophoridae,Helophorus,,minutus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Hydrophilidae,Hydrobius,,fuscipes,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Hydrophilidae,Anacaena,,latescens,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Hydrophilidae,Anacaena,,limbata,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Coccinelidae,Coccinella,,septempunctata,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Byturidae,Byturus ,,tomentosus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Chrysomelidae,Liliocerus,,lilii,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Endomychidae,Mycetina,,cruciata,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Staphylinidae,Scaphisoma,,boreale,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Elateridae,Ampedus,,sanguineus,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BIG 4 Team,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Tenebrionidae,Mycetochara,,flavipes,,,,,,,,,,,,,,,,,Czech Republic,,,,,Locality 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
