typeStatus,catalogNumber,occurrenceDetails,occurrenceRemarks,recordNumber,recordedBy,individualID,individualCount,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,otherCatalogNumbers,previousIdentifications,associatedMedia,associatedReferences,associatedOccurrences,associatedSequences,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,identificationID,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,identificationQualifier,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,eventID,samplingProtocol,samplingEffort,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNumber,fieldNotes,eventRemarks,type,modified,language,rights,rightsHolder,accessRights,bibliographicCitation,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,source
,,,day 3 of the expedition,VS_05_11,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Chrysomelidae,Phaedon ,,armoraciae,,species,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,,,,,,,,,,surrounding of the Šobes vineyard,"48.8171694N, 15.9746300E",,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,07.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 3 of the expedition,VS_05_12,Viktor Senderov,,2,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Geotrupidae,Anoplotrupes,,,,genus,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,,,,,,,,,,surrounding of the Šobes vineyard,"48.8171694N, 15.9746300E",,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,07.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 2 of the expedition,VS_05_13,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Scarabaeidae,Oxythyrea,,funesta,,genus,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,,,,,,,,,,N of Havraníky (the track from Havraníky to Popice),"48.8197689N, 16.0084903E",,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,06.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 2 of the expedition,VS_05_13,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Coccinelidae,Coccinella,,septempunctata,,species,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,,,,,,,,,,N of Havraníky (the track from Havraníky to Popice),"48.8197689N, 16.0084903E",,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,06.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 2 of the expedition,VS_05_14,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Drilidae,Malachius,,bipustulatus,,species,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,,,,,,,,,,N of Havraníky (the track from Havraníky to Popice),"48.8197689N, 16.0084903E",,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,06.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 2 of the expedition,VS_05_15,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Carabidae,,,,,family,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,,,,,,,,,,N of Havraníky (the track from Havraníky to Popice),"48.8197689N, 16.0084903E",,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,06.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 2 of the expedition,VS_05_16,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Tenebrionidae,Nalassus,,dermestoides,,species,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,,,,,,,,,,N of Havraníky (the track from Havraníky to Popice),"48.8197689N, 16.0084903E",,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,06.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 2 of the expedition,VS_05_17,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Coccinelidae,,,,,family,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,,,,,,,,,,N of Havraníky (the track from Havraníky to Popice),"48.8197689N, 16.0084903E",,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,06.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 2 of the expedition,VS_05_18,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Tenebrionidae,,,,,family,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,,,,,,,,,,N of Havraníky (the track from Havraníky to Popice),"48.8197689N, 16.0084903E",,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,06.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
,,,day 2 of the expedition,VS_05_19,Viktor Senderov,,1,,adult,,,,,96% alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera,Bruchidae,,,,,family,,,,,,,,,,,,,,,Czech Republic,CZ,,,,Podyji National Park,,,,,,,,,,,N of Havraníky (the track from Havraníky to Popice),"48.8197689N, 16.0084903E",,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand collecting,very high,06.06.16,,,,,,,,,,,,,,en,,,,,,,,,,,,PreservedSpecimen,,,,
